id,note,dev_frame_f1_avg,test_frame_f1_avg,dev_sign_frame_f1,test_sign_frame_f1,dev_sentence_frame_f1,test_sentence_frame_f1,dev_sign_frame_accuracy,test_sign_frame_accuracy,dev_sentence_frame_accuracy,test_sentence_frame_accuracy,dev_sign_segment_IoU,test_sign_segment_IoU,dev_sentence_segment_IoU,test_sentence_segment_IoU,dev_sign_segment_percentage,test_sign_segment_percentage,dev_sentence_segment_percentage,test_sentence_segment_percentage,#parameters,training_time_avg
E0,\citet{detection:moryossef2020real},0.68±0.02,0.73±0.02,0.67±0.02,0.69±0.03,0.69±0.03,0.77±0.02,0.79±0.01,0.76±0.02,0.91±0.01,0.89±0.01,0.26±0.04,0.32±0.03,0.58±0.02,0.64±0.01,0.80±0.38,0.91±0.41,0.69±0.04,0.70±0.03,102K,0:50:17
E1,Baseline,0.56±0.02,0.58±0.03,0.55±0.01,0.56±0.03,0.56±0.02,0.59±0.02,0.71±0.01,0.69±0.01,0.84±0.00,0.81±0.00,0.42±0.00,0.48±0.01,0.62±0.00,0.67±0.00,0.65±0.07,0.73±0.05,2.22±0.18,2.32±0.13,454K,1:01:50
E2,E1 + Face,0.52±0.06,0.55±0.04,0.50±0.07,0.53±0.05,0.53±0.05,0.57±0.02,0.70±0.03,0.67±0.04,0.82±0.05,0.80±0.04,0.39±0.06,0.44±0.05,0.60±0.03,0.64±0.03,0.43±0.28,0.46±0.30,1.71±0.76,1.67±0.81,552K,1:50:31
E3,E1 + Optical Flow,0.59±0.00,0.59±0.02,0.58±0.00,0.58±0.01,0.59±0.01,0.60±0.03,0.75±0.00,0.72±0.00,0.85±0.02,0.82±0.02,0.45±0.00,0.50±0.00,0.62±0.00,0.68±0.00,0.83±0.05,0.94±0.05,2.94±0.06,3.02±0.11,473K,1:20:17
E4,E3 + Hand Norm,0.58±0.01,0.58±0.01,0.57±0.01,0.56±0.02,0.58±0.00,0.60±0.00,0.74±0.01,0.71±0.01,0.85±0.01,0.82±0.00,0.45±0.01,0.49±0.00,0.62±0.00,0.68±0.00,0.81±0.02,0.89±0.05,2.95±0.10,3.06±0.17,516K,1:30:59
E1s,E1 + Depth=4,0.62±0.00,0.64±0.01,0.61±0.00,0.63±0.01,0.63±0.01,0.65±0.02,0.78±0.00,0.75±0.01,0.90±0.00,0.88±0.00,0.47±0.00,0.52±0.00,0.60±0.01,0.66±0.00,0.85±0.01,0.93±0.01,1.50±0.14,1.45±0.10,1.6M,4:08:48
E2s,E2 + Depth=4,0.59±0.01,0.62±0.02,0.60±0.01,0.62±0.02,0.59±0.02,0.63±0.01,0.76±0.01,0.73±0.01,0.87±0.02,0.84±0.02,0.46±0.01,0.51±0.00,0.62±0.00,0.68±0.00,0.82±0.03,0.89±0.03,2.53±0.47,2.50±0.53,1.7M,3:14:03
E3s,E3 + Depth=4,0.62±0.00,0.62±0.02,0.62±0.00,0.60±0.01,0.63±0.00,0.64±0.03,0.79±0.00,0.75±0.00,0.90±0.00,0.88±0.01,0.46±0.00,0.51±0.00,0.60±0.00,0.66±0.00,0.82±0.01,0.95±0.01,1.31±0.12,1.35±0.18,1.7M,4:08:30
E4s,E4 + Depth=4,0.62±0.00,0.61±0.00,0.61±0.00,0.59±0.00,0.63±0.00,0.62±0.00,0.79±0.00,0.75±0.01,0.91±0.00,0.88±0.00,0.46±0.00,0.51±0.00,0.61±0.01,0.67±0.00,0.84±0.01,0.94±0.02,1.23±0.06,1.24±0.07,1.7M,4:35:29
E4ba,E4s + Autoregressive,0.43±0.00,0.48±0.02,0.40±0.01,0.45±0.03,0.47±0.00,0.52±0.02,0.68±0.01,0.66±0.00,0.85±0.02,0.83±0.03,0.40±0.01,0.45±0.02,0.57±0.04,0.59±0.10,0.60±0.10,0.65±0.15,2.40±0.82,2.38±1.34,1.3M,"2 days, 21:28:42"
